text,label
went to the audiologist for a hearing test,Audiologist Services
need to claim my audiologist appointment,Audiologist Services
I had a hearing test done,Audiometric Exam
claiming an audiometric exam,Audiometric Exam
need to claim my audiometric hearing evaluation,Audiometric Exam
had an audiometry test at the clinic,Audiometric Exam
I bought a bath bench for the shower,Bath Bench/Chair (purchase)
purchased a shower chair for safety,Bath Bench/Chair (purchase)
claiming a bath seat I bought for after surgery,Bath Bench/Chair (purchase)
need to claim a shower bench,Bath Bench/Chair (purchase)
I bought bed rails for my bed,Bed Rails (purchase)
purchased bed safety rails,Bed Rails (purchase)
claiming bed rails I bought for fall prevention,Bed Rails (purchase)
need to claim hospital-style bed rails,Bed Rails (purchase)
I purchased a bedpan,Bedpan
claiming a bedpan for home use,Bedpan
bought a bedpan from the medical supply store,Bedpan
I bought a blood pressure monitor,Blood pressure monitor
purchased a home blood pressure cuff,Blood pressure monitor
claiming a BP monitor from the pharmacy,Blood pressure monitor
need to claim a blood pressure machine for home use,Blood pressure monitor
I had blood work done for allergy testing,Blood test for Allergies (IG test not eligible)
claiming a blood allergy test,Blood test for Allergies (IG test not eligible)
got an IgE blood test for allergies,Blood test for Allergies (IG test not eligible)
need to claim a blood test to check for allergies,Blood test for Allergies (IG test not eligible)
I was charged a fee for blood being drawn,Blood Withdrawal Fee
claiming the blood withdrawal fee from the lab,Blood Withdrawal Fee
need to claim the phlebotomy fee,Blood Withdrawal Fee
had to pay a blood draw fee at the clinic,Blood Withdrawal Fee
I bought a breast pump,Breast Pump (purchase)
purchased an electric breast pump,Breast Pump (purchase)
claiming a breast pump for nursing,Breast Pump (purchase)
need to claim my Medela breast pump,Breast Pump (purchase)
I had a CA-125 test for cancer screening,CA-125 (Cancer Antigen) Test
claiming a cancer antigen 125 blood test,CA-125 (Cancer Antigen) Test
need to claim a CA-125 test,CA-125 (Cancer Antigen) Test
got a CA125 test done at the lab,CA-125 (Cancer Antigen) Test
I bought a walking cane,"Cane, standard"
purchased a standard cane from the pharmacy,"Cane, standard"
claiming a walking stick cane,"Cane, standard"
need to claim a single-point cane,"Cane, standard"
I need to claim a fiberglass cast,"Cast, fiberglass"
had a fiberglass cast put on my broken arm,"Cast, fiberglass"
claiming a fiberglass cast for my fracture,"Cast, fiberglass"
I bought a cervical pillow for neck support,Cervical Pillow
purchased a cervical neck pillow,Cervical Pillow
claiming a therapeutic cervical pillow,Cervical Pillow
need to claim a prescription cervical pillow,Cervical Pillow
I went to the chiropractor,Chiropractic
claiming chiropractic treatment,Chiropractic
had a chiropractic adjustment,Chiropractic
need to claim my chiropractor visit,Chiropractic
saw the chiro for my back,Chiropractic
I bought a reusable ice pack,Cold Therapy - Re-usable Items (purchase)
purchased a cold therapy wrap,Cold Therapy - Re-usable Items (purchase)
claiming a reusable cold compress,Cold Therapy - Re-usable Items (purchase)
need to claim a gel ice pack for my injury,Cold Therapy - Re-usable Items (purchase)
I had a colonoscopy procedure,Colonoscopy
claiming a colonoscopy screening,Colonoscopy
need to claim my colonoscopy appointment,Colonoscopy
had a colon cancer screening colonoscopy,Colonoscopy
I broke my tooth in an accident and need to claim,Dental Accident
claiming dental work after a sports accident,Dental Accident
had emergency dental treatment after I fell and chipped my teeth,Dental Accident
need to claim dental accident from being hit in the face,Dental Accident
I need to submit a dental treatment estimate,Dental Estimate for Services
claiming a pre-determination for dental work,Dental Estimate for Services
submitting a dental estimate before my procedure,Dental Estimate for Services
need to get a dental estimate pre-approved,Dental Estimate for Services
I went to the dentist for a cleaning,Dental Services
claiming dental cleaning and checkup,Dental Services
had a filling done at the dentist,Dental Services
need to claim my dental appointment,Dental Services
went for a routine dental visit,Dental Services
I saw a dietitian for nutrition counselling,Dietitian Services
claiming my appointment with a registered dietitian,Dietitian Services
visited a dietitian for meal planning,Dietitian Services
need to claim dietitian services,Dietitian Services
I need to claim a prescription medication,Drug
claiming a drug I picked up at the pharmacy,Drug
bought my prescription drugs at shoppers,Drug
need to submit my pharmacy receipt for medication,Drug
claiming prescription drug from the pharmacist,Drug
I got custom ear plugs made,Ear Plugs (custom made)
claiming custom molded ear plugs,Ear Plugs (custom made)
had custom ear plugs fitted at the audiologist,Ear Plugs (custom made)
need to claim custom-made ear plugs,Ear Plugs (custom made)
I need to submit a pre-authorization for treatment,Estimate/Pre-Authorization
claiming an estimate for upcoming medical services,Estimate/Pre-Authorization
need pre-approval for a medical procedure,Estimate/Pre-Authorization
submitting a pre-authorization request,Estimate/Pre-Authorization
I bought grab bars for the bathroom,Grab Bar/Bath Bar - permanent fixtures (purchase)
purchased bath safety grab bars,Grab Bar/Bath Bar - permanent fixtures (purchase)
claiming grab bars installed in the shower,Grab Bar/Bath Bar - permanent fixtures (purchase)
need to claim bathroom grab bars,Grab Bar/Bath Bar - permanent fixtures (purchase)
I bought hearing aids,Hearing Aids
claiming new hearing aids from the audiologist,Hearing Aids
purchased hearing aids for hearing loss,Hearing Aids
need to claim my new hearing aid devices,Hearing Aids
I bought a reusable heating pad,Heat Therapy - Re-usable items (purchase)
purchased a heat therapy wrap,Heat Therapy - Re-usable items (purchase)
claiming a reusable heat pack,Heat Therapy - Re-usable items (purchase)
need to claim a hot water bottle for therapy,Heat Therapy - Re-usable items (purchase)
I went for homeopathic treatment,Homeopathic Treatment
claiming a session with a homeopath,Homeopathic Treatment
visited a homeopathic practitioner,Homeopathic Treatment
need to claim homeopathic medicine and consultation,Homeopathic Treatment
I was hospitalized and need to claim,Hospital (within your province)
claiming hospital fees within Ontario,Hospital (within your province)
need to claim hospital stay costs in my province,Hospital (within your province)
had to go to the hospital and have a bill to submit,Hospital (within your province)
I bought a table top humidifier,Humidifier (Table Top)
purchased a small humidifier for my room,Humidifier (Table Top)
claiming a tabletop humidifier,Humidifier (Table Top)
need to claim a desktop humidifier,Humidifier (Table Top)
I need to claim in-home care services,In Home Support Services
claiming a home care worker who came to help me,In Home Support Services
had in-home support services after my surgery,In Home Support Services
need to claim home health aide services,In Home Support Services
I bought incontinence pads,Incontinence Supplies
claiming incontinence supplies from the pharmacy,Incontinence Supplies
purchased adult diapers and incontinence products,Incontinence Supplies
need to claim incontinence underwear,Incontinence Supplies
I bought an IV stand for home use,IV Stand (purchase)
purchased an IV pole,IV Stand (purchase)
claiming an IV stand,IV Stand (purchase)
I bought lancets for blood sugar testing,Lancet
claiming lancets for my glucose meter,Lancet
purchased a box of lancets from the pharmacy,Lancet
need to claim lancet needles for diabetes,Lancet
I had a mammogram done,Mammogram
claiming a breast screening mammogram,Mammogram
need to claim my mammogram appointment,Mammogram
had a mammography test for breast cancer screening,Mammogram
I had a massage therapy session,Massage
claiming a registered massage therapist appointment,Massage
went for an RMT massage,Massage
need to claim my massage therapy treatment,Massage
had a therapeutic massage for my sore back,Massage
I bought a mastectomy bra,Mastectomy bra
claiming a post-mastectomy bra,Mastectomy bra
purchased a bra designed for after mastectomy,Mastectomy bra
need to claim a prosthetic mastectomy bra,Mastectomy bra
I bought a MedicAlert bracelet,Medic Alert Bracelet
claiming a medical alert ID bracelet,Medic Alert Bracelet
purchased a medic alert necklace,Medic Alert Bracelet
need to claim my MedicAlert subscription and bracelet,Medic Alert Bracelet
I need to claim medical marijuana,Medical Cannabis
claiming medical cannabis from a licensed producer,Medical Cannabis
purchased prescribed medical cannabis,Medical Cannabis
need to submit claim for medical marijuana,Medical Cannabis
I had an MRI scan,MRI (Magnetic Resonance Imaging)
claiming an MRI for my knee injury,MRI (Magnetic Resonance Imaging)
need to claim my MRI appointment,MRI (Magnetic Resonance Imaging)
had a magnetic resonance imaging scan done privately,MRI (Magnetic Resonance Imaging)
I went to a naturopath,Naturopathic Treatment
claiming naturopathic treatment,Naturopathic Treatment
visited a naturopathic doctor for treatment,Naturopathic Treatment
need to claim my naturopath appointment,Naturopathic Treatment
I need to claim nursing home costs,Nursing Home and Long Term Care
claiming long term care facility fees,Nursing Home and Long Term Care
need to submit for nursing home services,Nursing Home and Long Term Care
I went to an occupational therapist,Occupational Therapy
claiming OT sessions,Occupational Therapy
had occupational therapy after my injury,Occupational Therapy
need to claim my occupational therapy appointment,Occupational Therapy
I got braces on my teeth and need to claim,Orthodontic Services (Braces - initial and monthly fee)
claiming monthly orthodontic braces fee,Orthodontic Services (Braces - initial and monthly fee)
need to submit orthodontic treatment for dental braces,Orthodontic Services (Braces - initial and monthly fee)
paying for braces treatment at the orthodontist,Orthodontic Services (Braces - initial and monthly fee)
claiming my kids dental braces initial fee,Orthodontic Services (Braces - initial and monthly fee)
I saw an osteopath for treatment,Osteopath
claiming osteopathic treatment,Osteopath
went to an osteopath for my back,Osteopath
need to claim my osteopathy session,Osteopath
I need to claim ostomy supplies,Ostomy
claiming ostomy bags and accessories,Ostomy
purchased ostomy pouches and barriers,Ostomy
need to claim colostomy supplies,Ostomy
I had an emergency medical service that doesn't fit other categories,Other emergency services
claiming emergency medical transport that wasn't an ambulance,Other emergency services
need to claim other emergency health services,Other emergency services
I bought compression gloves for arthritis,Other garment brace services (i.e. compression gloves)
claiming a compression garment that isn't stockings or a brace,Other garment brace services (i.e. compression gloves)
purchased compression arm sleeves,Other garment brace services (i.e. compression gloves)
need to claim a lymphedema compression sleeve,Other garment brace services (i.e. compression gloves)
I saw a health specialist not listed in other categories,Other health specialists
claiming a visit with a kinesiologist,Other health specialists
need to claim services from a reflexologist,Other health specialists
saw a health practitioner that doesn't match other categories,Other health specialists
I need to claim a hearing service not covered by other categories,Other hearing services
claiming hearing aid repairs,Other hearing services
need to claim a hearing device accessory,Other hearing services
I had a lab test that doesn't fit other categories,Other laboratory and diagnostic tests
claiming a diagnostic test not listed elsewhere,Other laboratory and diagnostic tests
need to claim blood work that's not allergy testing,Other laboratory and diagnostic tests
had a specialized lab test done,Other laboratory and diagnostic tests
I bought a medical item that doesn't fit any category,Other medical items
claiming a medical supply not listed anywhere,Other medical items
need to claim a miscellaneous medical device,Other medical items
I need to claim orthodontic records and x-rays,Other Orthodontic/Dental Services (i.e. orthodontic records)
claiming dental impressions for orthodontic treatment,Other Orthodontic/Dental Services (i.e. orthodontic records)
need to submit for orthodontic retainer replacement,Other Orthodontic/Dental Services (i.e. orthodontic records)
claiming panoramic dental x-ray for ortho treatment,Other Orthodontic/Dental Services (i.e. orthodontic records)
I bought a peak flow meter for asthma,Peak Flow Meter
purchased a peak flow meter to monitor my breathing,Peak Flow Meter
claiming a peak flow meter device,Peak Flow Meter
need to claim a peak flow meter for lung function,Peak Flow Meter
I went to physiotherapy,Physiotherapy
claiming physio sessions for my knee,Physiotherapy
had a physiotherapy appointment,Physiotherapy
need to claim my physio treatment,Physiotherapy
went to the physiotherapist for rehab,Physiotherapy
I need to claim provincial health plan replacement,Provincial Replacement Plan
claiming under provincial replacement plan,Provincial Replacement Plan
need to submit provincial plan replacement claim,Provincial Replacement Plan
I had a PSA test done,PSA Test (Prostate Specific Antigen)
claiming a prostate specific antigen blood test,PSA Test (Prostate Specific Antigen)
need to claim my PSA screening test,PSA Test (Prostate Specific Antigen)
got a PSA test for prostate cancer screening,PSA Test (Prostate Specific Antigen)
I bought a quad cane with four feet,Quad Cane (purchase)
purchased a four-point cane,Quad Cane (purchase)
claiming a quad cane for stability,Quad Cane (purchase)
need to claim a quad base cane,Quad Cane (purchase)
I bought a raised toilet seat,Raised Toilet seat (purchase)
purchased a toilet seat riser,Raised Toilet seat (purchase)
claiming a raised toilet seat after surgery,Raised Toilet seat (purchase)
need to claim an elevated toilet seat,Raised Toilet seat (purchase)
I had a skin scratch test for allergies,Scratch Test for Allergies
claiming an allergy scratch test,Scratch Test for Allergies
got a skin prick test for allergens,Scratch Test for Allergies
need to claim allergy skin scratch testing,Scratch Test for Allergies
I had genetic testing done,Screening (for DNA/Genetic purposes)
claiming a DNA screening test,Screening (for DNA/Genetic purposes)
need to claim genetic screening,Screening (for DNA/Genetic purposes)
had a genetic test for hereditary conditions,Screening (for DNA/Genetic purposes)
I had a sleep study done,Sleep Study
claiming a polysomnography test,Sleep Study
went for an overnight sleep study,Sleep Study
need to claim my sleep test at the clinic,Sleep Study
I went for speech therapy,Speech Therapy
claiming speech language pathology sessions,Speech Therapy
need to claim speech therapy appointments,Speech Therapy
my child had a speech therapy session,Speech Therapy
I bought a bedside commode,Stationary Commode (purchase)
purchased a stationary commode chair,Stationary Commode (purchase)
claiming a commode that doesn't have wheels,Stationary Commode (purchase)
need to claim a bedside toilet commode,Stationary Commode (purchase)
I had a TB skin test,TB Test/Mantoux
claiming a Mantoux tuberculosis test,TB Test/Mantoux
need to claim a TB test for school,TB Test/Mantoux
got a tuberculosis screening test done,TB Test/Mantoux
I bought a transport wheelchair,Transport Wheelchair
purchased a lightweight transport chair,Transport Wheelchair
claiming a transport wheelchair for travel,Transport Wheelchair
need to claim a companion transport wheelchair,Transport Wheelchair
I had an ultrasound done,Ultrasound
claiming a diagnostic ultrasound,Ultrasound
need to claim my ultrasound appointment,Ultrasound
had an ultrasound scan at the clinic,Ultrasound
I bought a urinal for bedside use,Urinal (purchase)
purchased a male urinal bottle,Urinal (purchase)
claiming a urinal from the medical store,Urinal (purchase)
I bought a tabletop vaporizer,Vaporizer (table top)
purchased a steam vaporizer for my room,Vaporizer (table top)
claiming a table top vaporizer,Vaporizer (table top)
I bought a versa frame for the toilet,Versa Frame (purchase)
purchased a toilet safety versa frame,Versa Frame (purchase)
claiming a versa frame for bathroom safety,Versa Frame (purchase)
I had a vitamin D blood test,Vitamin D Test
claiming a vitamin D level test,Vitamin D Test
need to claim my vitamin D screening,Vitamin D Test
got blood work done to check vitamin D,Vitamin D Test
I bought a commode with wheels,Wheeled Commode (purchase)
purchased a wheeled commode chair,Wheeled Commode (purchase)
claiming a rolling commode,Wheeled Commode (purchase)
need to claim a wheeled bedside commode,Wheeled Commode (purchase)
I bought a wig after chemotherapy,Wig
claiming a medical wig,Wig
purchased a wig for hair loss due to treatment,Wig
need to claim a wig for alopecia,Wig
I had an x-ray taken,X-Ray
claiming an x-ray for my broken wrist,X-Ray
need to claim my x-ray from the clinic,X-Ray
had x-rays done on my foot,X-Ray
